designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
J002333.95-720712.4,5.8914838,-72.1201131,00h23m33.96s,-72d07m12.41s,0.0364,0.0377,0.0081,9.377,0.023,47.3,3.896E+00,9.605,0.021,52.5,2.218E+00,9.481,0.040,27.0,8.692E-01,9.162,0.481,2.3,9.984E-01,1,0,0.000,0.000,0.000,0.000,26,32,7,33,dd00,3,210n,AAAC,0011,44,44,43,43,20,20,0,21
J002358.50-720617.1,5.9937548,-72.1047585,00h23m58.50s,-72d06m17.13s,0.0600,0.0592,0.0122,9.738,0.032,33.5,1.623E+01,10.483,0.030,35.7,9.541E+00,11.636,null,-1.7,1.732E+00,8.833,null,-4.9,8.596E-01,1,0,0.000,0.000,0.000,0.000,-290,50,395,50,ddd0,3,33nn,AAUU,0011,43,43,42,42,5,15,0,19
J002402.30-720657.3,6.0095843,-72.1159190,00h24m02.30s,-72d06m57.31s,0.1869,0.1644,0.0753,11.609,0.069,15.7,2.024E+01,15.592,null,-12.9,4.205E+01,11.443,0.216,5.0,1.140E+00,8.394,null,1.6,1.184E+00,1,0,0.000,0.000,0.000,0.000,-1968,220,1346,133,dDH0,3,3nnn,AUBU,0011,41,43,4,42,2,19,0,19
J002401.61-720301.2,6.0067293,-72.0503506,00h24m01.62s,-72d03m01.26s,0.0339,0.0341,0.0061,8.259,0.023,47.8,5.685E+01,8.363,0.019,55.9,5.050E+01,8.541,0.024,44.7,2.330E+00,9.201,null,0.2,1.033E+00,1,0,0.000,0.000,0.000,0.000,-176,30,802,30,ddh0,3,343n,AAAU,0011,47,47,47,47,22,22,0,22
J002406.86-720533.5,6.0286015,-72.0926557,00h24m06.86s,-72d05m33.56s,0.0332,0.0338,0.0042,5.777,0.143,7.6,3.312E+02,7.463,0.022,48.6,3.423E+01,7.352,0.018,61.8,1.877E+01,7.904,0.214,5.1,1.201E+00,1,0,0.246,0.000,0.000,0.000,819,35,-400,29,ddh0,3,n31n,BAAB,0011,31,39,43,43,20,20,0,20
J002337.34-720255.0,5.9056130,-72.0486274,00h23m37.35s,-72d02m55.06s,0.0547,0.0534,0.0095,10.845,0.028,38.3,6.671E+01,11.152,0.031,35.4,1.790E+01,11.622,0.185,5.9,8.826E-01,9.391,null,-0.3,1.048E+00,1,0,0.000,0.000,0.000,0.000,-1160,48,1181,54,hd00,3,33nn,AABU,0011,46,46,46,46,3,23,0,23
J002338.51-720538.2,5.9104810,-72.0939686,00h23m38.52s,-72d05m38.29s,0.0589,0.0558,0.0077,10.644,0.033,33.2,6.194E+01,11.081,0.028,39.4,3.038E+01,12.093,0.441,2.5,1.026E+00,9.019,null,-2.5,9.454E-01,2,0,0.000,0.000,0.000,0.000,205,60,528,54,dd00,3,33nn,AACU,0011,43,43,43,43,2,19,0,19
J002408.43-720451.8,6.0351521,-72.0810761,00h24m08.44s,-72d04m51.87s,0.0312,0.0303,-0.0034,2.798,0.162,6.7,3.520E+01,3.919,0.077,14.1,1.318E+02,5.824,0.018,61.3,5.789E+01,5.125,0.041,26.3,1.285E+01,1,0,0.286,0.126,0.000,0.000,-619,24,-1875,24,ddd0,3,3n41,BAAA,0011,41,42,44,44,20,20,20,20
J002341.68-720502.2,5.9236675,-72.0839658,00h23m41.68s,-72d05m02.28s,0.0495,0.0439,0.0032,9.588,0.026,41.4,1.569E+01,9.933,0.025,42.6,9.809E+00,10.193,0.062,17.5,1.787E+00,8.829,null,-1.6,8.375E-01,2,0,0.000,0.000,0.000,0.000,-66,38,-63,37,dd00,3,440n,AAAU,0011,44,44,44,44,18,20,0,20
J002356.33-720447.9,5.9847159,-72.0799830,00h23m56.33s,-72d04m47.94s,0.0436,0.0420,0.0050,7.890,0.028,38.5,3.949E+01,7.986,0.023,47.4,2.509E+01,8.025,0.027,40.5,4.808E+00,8.256,0.331,3.3,7.812E-01,3,0,0.000,0.000,0.000,0.000,-445,33,624,32,ddd0,3,132n,AAAB,0011,32,43,42,42,20,20,1,21
J002344.92-720534.4,5.9371744,-72.0928903,00h23m44.92s,-72d05m34.41s,0.0465,0.0451,-0.0030,9.035,0.027,40.0,6.536E+00,9.214,0.025,42.7,3.536E+00,9.150,0.035,31.2,9.372E-01,9.083,null,-1.2,9.294E-01,2,0,0.000,0.000,0.000,0.000,45,45,130,41,ddd0,3,300n,AAAU,0011,43,43,43,43,20,20,0,20
J002351.03-720717.4,5.9626339,-72.1215192,00h23m51.03s,-72d07m17.47s,0.0622,0.0610,0.0051,10.794,0.030,36.7,1.149E+01,11.635,0.036,30.0,1.168E+01,11.673,null,0.5,9.189E-01,9.056,null,-1.9,1.007E+00,1,0,0.000,0.000,0.000,0.000,-17,56,193,54,ddh0,3,34nn,AAUU,0011,44,44,43,43,2,20,0,20
J002340.92-720405.7,5.9205092,-72.0682654,00h23m40.92s,-72d04m05.76s,0.0341,0.0356,0.0051,6.973,0.033,33.0,4.129E+00,7.250,0.020,54.5,3.709E+00,7.168,0.019,57.1,1.240E+00,7.314,0.124,8.7,9.609E-01,2,0,0.131,0.001,0.000,0.001,117,30,181,31,dhd0,3,0110,AAAB,0011,43,43,43,43,21,21,10,21
J002348.99-720312.9,5.9541288,-72.0536025,00h23m48.99s,-72d03m12.97s,0.0240,0.0240,0.0059,6.823,0.019,56.5,1.082E+01,7.128,0.014,76.6,1.338E+01,7.201,0.015,71.5,2.601E+00,7.276,0.133,8.2,9.052E-01,1,0,0.120,0.000,0.000,0.000,414,26,-651,26,ddd0,3,3410,AAAB,0011,45,45,44,44,21,21,9,21
J002355.67-720624.8,5.9819597,-72.1068919,00h23m55.67s,-72d06m24.81s,0.0452,0.0458,0.0096,9.011,0.025,42.7,2.516E+01,9.598,0.026,42.3,1.553E+01,9.750,0.068,16.0,1.121E+00,8.834,null,-1.5,9.698E-01,1,0,0.000,0.000,0.000,0.000,-129,63,-271,42,ddd0,3,341n,AAAU,0011,42,42,42,42,19,19,0,19
J002407.91-720509.6,6.0329906,-72.0860232,00h24m07.92s,-72d05m09.68s,0.0286,0.0280,0.0044,3.458,0.168,6.5,4.304E+01,4.482,0.071,15.3,3.143E+02,6.089,0.016,67.3,3.325E+01,5.591,0.052,20.9,8.634E+00,1,0,0.285,0.120,0.000,0.000,1038,26,-578,26,ddd0,3,3n20,BAAA,0011,43,43,43,43,20,20,20,20
J002400.52-720633.7,6.0021810,-72.1093825,00h24m00.52s,-72d06m33.78s,0.0617,0.0483,0.0140,9.554,0.030,36.3,2.043E+01,10.324,0.031,35.3,5.196E+01,11.236,0.182,6.0,3.925E+00,8.352,null,-3.1,1.199E+00,2,0,0.000,0.000,0.000,0.000,280,40,-13,42,ddh0,3,353n,AABU,0011,43,43,43,43,5,19,0,19
J002413.32-720721.7,6.0555108,-72.1227130,00h24m13.32s,-72d07m21.77s,0.0732,0.0712,-0.0086,10.553,0.034,32.2,2.328E+01,11.066,0.040,27.1,1.212E+01,11.203,0.181,6.0,7.973E-01,9.274,null,-5.2,1.012E+00,2,0,0.000,0.000,0.000,0.000,132,55,-203,53,ddH0,3,34nn,AABU,0011,43,43,43,43,6,19,0,19
