designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
J002433.27-720520.2,6.1386384,-72.0889660,00h24m33.27s,-72d05m20.28s,0.1691,0.1172,0.0461,11.320,0.068,16.1,9.285E+00,12.407,0.066,16.5,1.111E+01,12.301,null,-0.2,1.115E+00,9.298,null,-1.7,1.051E+00,1,0,0.000,0.000,0.000,0.000,414,107,-11,232,hdd0,3,33nn,AAUU,0011,46,46,35,46,0,21,0,21
J002407.92-720432.8,6.0330189,-72.0758012,00h24m07.92s,-72d04m32.88s,0.0328,0.0324,0.0098,3.587,0.134,8.1,9.970E+01,4.275,0.095,11.4,2.367E+02,5.414,0.018,59.1,1.115E+01,5.010,0.037,29.2,4.172E+00,1,0,0.282,0.128,0.000,0.000,972,26,-903,26,hhd0,3,nn11,BAAA,0011,38,43,44,44,20,20,20,20
J002425.69-720629.8,6.1070684,-72.1082944,00h24m25.70s,-72d06m29.86s,0.0332,0.0335,0.0054,7.173,0.030,35.9,3.288E+00,7.309,0.020,53.9,2.265E+00,7.044,0.018,61.3,1.155E+00,6.941,0.086,12.6,9.103E-01,1,0,0.198,0.000,0.000,0.000,86,30,202,30,hhd0,3,0100,AAAA,0011,44,44,44,44,21,21,19,21
J002415.85-720302.7,6.0660782,-72.0507728,00h24m15.86s,-72d03m02.78s,0.0371,0.0366,0.0071,8.609,0.024,46.0,1.218E+01,8.805,0.022,50.4,6.178E+00,8.708,0.025,43.4,1.234E+00,8.719,0.402,2.7,9.215E-01,1,0,0.000,0.000,0.000,0.000,21,33,80,33,hdd0,3,141n,AAAC,0011,45,45,45,45,21,21,1,21
J002354.66-720338.8,5.9777895,-72.0607933,00h23m54.67s,-72d03m38.86s,0.0340,0.0345,0.0059,7.002,0.028,38.6,6.245E+00,7.244,0.020,53.7,3.705E+00,7.115,0.020,53.4,1.020E+00,7.160,0.100,10.9,9.360E-01,2,0,0.161,0.000,0.000,0.000,87,40,119,41,dhh0,3,0300,AAAA,0011,45,45,45,45,20,20,13,20
J002347.35-720332.3,5.9472990,-72.0589761,00h23m47.35s,-72d03m32.31s,0.0484,0.0471,0.0055,9.863,0.026,42.3,1.748E+01,10.208,0.026,41.1,7.129E+00,10.645,0.085,12.8,1.103E+00,9.007,null,0.1,7.914E-01,1,0,0.000,0.000,0.000,0.000,-38,39,-86,38,dd00,3,440n,AAAU,0011,44,44,44,44,17,20,0,20
J002415.18-720532.9,6.0632898,-72.0924914,00h24m15.19s,-72d05m32.97s,0.0334,0.0336,0.0039,6.279,0.145,7.5,2.340E+02,7.532,0.021,52.0,1.143E+01,7.484,0.018,60.5,3.557E+00,7.854,0.156,7.0,9.754E-01,1,0,0.121,0.000,0.000,0.000,386,30,-355,31,ddd0,3,n21n,BAAB,0011,40,40,43,43,20,20,5,20
J002347.40-720652.7,5.9475023,-72.1146423,00h23m47.40s,-72d06m52.71s,0.0329,0.0339,0.0071,6.609,0.070,15.6,1.121E+00,6.763,0.021,52.0,1.413E+00,6.536,0.016,66.8,1.102E+00,6.412,0.070,15.6,9.097E-01,1,0,0.116,0.033,0.000,0.000,100,30,95,30,hhd0,2,1000,AAAA,0011,42,42,42,42,20,20,20,20
J002420.37-720449.0,6.0849059,-72.0802795,00h24m20.38s,-72d04m49.01s,0.0336,0.0338,0.0041,5.219,0.172,6.3,1.731E+01,6.204,0.023,48.0,3.092E+01,6.121,0.015,70.2,5.989E+00,5.995,0.048,22.4,1.388E+00,1,0,0.185,0.055,0.000,0.000,-98,28,288,28,ddd0,3,3210,BAAA,0011,45,45,45,45,20,20,20,20
J002335.37-720244.4,5.8973956,-72.0456902,00h23m35.37s,-72d02m44.48s,0.0438,0.0434,0.0105,10.958,0.025,44.2,2.949E+01,11.403,0.024,45.0,5.066E+00,11.855,0.266,4.1,8.225E-01,9.287,null,-0.3,9.907E-01,1,0,0.000,0.000,0.000,0.000,104,50,91,49,hd00,3,31nn,AABU,0011,46,46,46,46,2,23,1,23
J002356.67-720250.2,5.9861426,-72.0472956,00h23m56.67s,-72d02m50.26s,0.0374,0.0372,0.0098,9.436,0.022,48.7,3.740E+01,9.821,0.021,51.9,1.310E+01,9.908,0.058,18.8,1.576E+00,9.333,null,0.2,1.169E+00,1,0,0.000,0.000,0.000,0.000,-228,33,-252,33,ddh0,3,330n,AAAU,0011,45,45,45,45,21,21,0,21
J002346.30-720448.3,5.9429514,-72.0801078,00h23m46.31s,-72d04m48.39s,0.0647,0.0611,-0.0099,10.133,0.032,33.6,3.830E+01,10.264,0.032,33.4,1.791E+01,10.518,0.079,13.8,1.600E+00,8.936,null,-2.7,1.049E+00,1,0,0.000,0.000,0.000,0.000,1436,52,-33,46,ddh0,3,440n,AAAU,0011,44,44,44,44,18,20,0,20
J002419.27-720518.8,6.0803182,-72.0885701,00h24m19.28s,-72d05m18.85s,0.0363,0.0360,0.0033,8.041,0.025,44.1,1.222E+01,8.279,0.022,50.2,4.802E+00,8.191,0.020,53.5,1.572E+00,8.421,null,1.5,1.042E+00,1,0,0.000,0.000,0.000,0.004,25,37,11,36,ddh0,3,131n,AAAU,0011,45,45,45,45,20,20,0,20
J002414.82-720606.8,6.0617641,-72.1018950,00h24m14.82s,-72d06m06.82s,0.0469,0.0468,0.0043,8.888,0.025,43.5,4.631E+01,9.317,0.028,38.3,1.434E+01,9.353,0.059,18.4,1.144E+00,8.980,null,-1.2,9.197E-01,1,0,0.000,0.000,0.000,0.000,-48,37,159,38,ddd0,3,341n,AAAU,0011,45,45,45,45,20,20,0,20
J002430.98-720559.3,6.1291151,-72.0998276,00h24m30.99s,-72d05m59.38s,0.0416,0.0415,0.0091,10.277,0.024,45.7,5.139E+01,11.629,0.023,47.0,2.268E+01,12.350,null,-0.4,7.896E-01,9.120,null,-1.5,1.009E+00,1,0,0.000,0.000,0.000,0.000,-670,40,314,40,dd00,3,44nn,AAUU,0011,46,46,45,46,0,21,0,21
J002357.02-720402.4,5.9876157,-72.0673374,00h23m57.03s,-72d04m02.41s,0.0552,0.0536,-0.0095,8.645,0.031,35.4,2.020E+01,8.830,0.030,35.9,1.264E+01,8.669,0.034,32.1,2.554E+00,8.914,0.438,2.5,8.410E-01,2,0,0.000,0.000,0.000,0.000,48,43,99,42,ddd0,3,253n,AAAC,0011,45,45,45,45,21,21,0,21
J002342.96-720611.0,5.9290079,-72.1030674,00h23m42.96s,-72d06m11.04s,0.0501,0.0488,0.0050,9.401,0.027,40.5,1.932E+01,9.700,0.028,38.8,7.234E+00,9.716,0.054,20.0,8.897E-01,9.242,null,-3.3,1.014E+00,1,0,0.000,0.000,0.000,0.000,-128,39,50,38,dh00,3,420n,AAAU,0011,43,43,42,42,19,19,0,20
J002353.17-720415.7,5.9715759,-72.0710306,00h23m53.18s,-72d04m15.71s,0.0393,0.0379,0.0050,6.910,0.036,30.5,3.633E+00,7.141,0.022,48.6,1.936E+00,7.026,0.020,54.8,1.107E+00,7.034,0.108,10.1,9.082E-01,2,0,0.141,0.000,0.000,0.000,-72,31,179,31,ddd0,3,0110,AAAA,0011,45,45,45,45,21,21,17,21
