ra,dec,objId,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
229.03221152328,-0.113331737602863,1.23764872125219098E18,23.12952,22.29252,21.68084,21.59724,22.2409
229.03488691665,-0.112974502941051,1.23764872125219098E18,23.67873,22.83234,22.49551,23.4037,21.8364
229.03398742857,-0.112533970868818,1.23764872125219098E18,23.94235,22.89604,22.72663,22.27666,22.0292
229.00463854546,-0.107307714000965,1.23764872125218842E18,15.1973,13.70881,13.19486,12.9929,12.8703
229.00761168077,-0.102165095841144,1.23764872125218842E18,23.26772,20.85573,19.41535,18.60715,18.1671
229.03760616356,-0.108536512715784,1.23764872125218842E18,20.87191,19.603,19.03115,18.82333,18.6918
229.00900975052,-0.108526544261429,1.23764872125218842E18,22.78686,20.19794,19.83117,19.58315,19.3205
229.00851586394,-0.117001828265517,1.23764872125218842E18,21.3268,20.15751,19.8375,19.71516,19.729
229.0402853858,-0.109889999226411,1.23764872125218842E18,21.70827,20.52773,20.02927,19.88938,19.9287
229.00560878862,-0.108580064432921,1.23764872125218842E18,24.63507,21.99325,20.46491,20.1096,22.8271
229.00804070907,-0.116664197410051,1.23764872125218842E18,21.96107,21.15096,20.85925,20.72971,20.6177
229.00773425026,-0.117579241774774,1.23764872125218842E18,21.72424,20.52674,20.00842,19.86788,19.7892
229.00837615566,-0.108545946249617,1.23764872125218842E18,22.14288,21.56947,24.80214,24.36179,20.6354
229.02107045323,-0.128535394306445,1.23764872125218842E18,21.60453,20.51872,20.05864,19.86879,19.8189
229.03619358803,-0.116246252526505,1.23764872125218842E18,21.73736,20.53587,20.16928,20.02719,19.9555
229.03498492949,-0.124060320643761,1.23764872125218842E18,21.79373,20.58137,20.20426,20.07095,20.0638
229.03742778397,-0.116053656999874,1.23764872125218842E18,21.874,20.71731,20.25001,20.15395,20.1042
229.03113804926,-0.100882453609268,1.23764872125218842E18,21.67516,20.65322,20.30685,20.19017,20.2037
229.03368214403,-0.104580103285365,1.23764872125218842E18,21.78118,20.74544,20.3324,20.26382,20.3702
229.03134800282,-0.126168205053178,1.23764872125218842E18,21.86189,20.71622,20.38121,20.23293,20.1209
229.02308715877,-0.127621817091795,1.23764872125218842E18,21.62575,21.41067,20.44486,20.32817,20.0786
229.01820050717,-0.096755231955044,1.23764872125218842E18,21.747,20.66816,20.3811,20.22835,20.1486
229.02002683817,-0.129683849894183,1.23764872125218842E18,21.90738,20.87351,20.57235,20.47822,20.5284
229.01629688806,-0.125231670001927,1.23764872125218918E18,21.22433,20.16208,19.80821,19.69478,19.7481
229.01467568115,-0.126852124093039,1.23764872125218918E18,21.75727,21.01485,20.71357,20.64609,20.6622
229.01809077792,-0.125235899211618,1.23764872125218918E18,24.25034,22.32568,22.03451,21.94518,22.7056
229.01746386867,-0.124565303129696,1.23764872125218918E18,23.25939,22.48495,22.24216,21.91217,21.399
229.02489782789,-0.09761068613388,1.23764872125218918E18,20.33031,18.91642,18.32251,18.06131,17.9452
229.01558060539,-0.09434036506663,1.23764872125219021E18,22.28496,21.20784,20.90887,20.8789,20.561
229.02840768593,-0.095325117569246,1.23764872125219021E18,22.09708,20.95869,20.63073,20.49586,20.1116
229.02711943532,-0.096139833100983,1.23764872125219021E18,22.69708,21.82607,21.38241,21.53652,21.4406
229.02126218083,-0.094775965938196,1.23764872125219098E18,22.92086,21.71239,21.38506,21.06907,21.0421
229.02534551561,-0.0947368834207,1.23764872125219098E18,22.98,22.22684,21.83383,21.51385,20.9429
229.03606653255,-0.113514728237305,1.23764872125219098E18,23.48745,22.33452,22.0182,21.88723,21.62
229.01037880399,-0.120532465282711,1.23764872125219123E18,23.43029,23.7532,22.58166,23.21767,22.1668
229.03468681416,-0.127227854068541,1.23764872125218842E18,19.43815,17.77259,17.07081,16.77728,16.6142
229.00076652437,-0.106377129171779,1.23764872125218842E18,18.85461,17.5899,17.52067,17.52022,17.5652
229.03326448947,-0.127979864781467,1.23764872125218842E18,18.92913,17.69524,17.30553,17.15041,17.0863
229.03361948885,-0.126892859297355,1.23764872125218842E18,24.86356,21.15469,19.62343,17.88228,16.9199
229.04133081853,-0.11074763260694,1.23764872125218842E18,20.67487,19.28336,18.65695,18.40665,18.3398
229.00658632406,-0.125841111915903,1.23764872125218842E18,21.09972,19.87564,19.30558,19.06964,18.9661
229.00047502904,-0.113131300272849,1.23764872125218842E18,21.61407,20.29183,19.73653,19.54318,19.449
229.03947916045,-0.123855519321867,1.23764872125218842E18,21.72487,20.45709,20.00695,19.82632,19.7893
229.00275828973,-0.11132352590502,1.23764872125218842E18,21.82024,22.9123,22.24715,21.72678,19.6911
229.00142194936,-0.115370084415979,1.23764872125218842E18,21.74837,20.57077,20.19182,20.08326,20.7083
229.04034285393,-0.114575083484135,1.23764872125218842E18,21.57431,20.74981,20.38104,20.29582,20.2171
229.01803215482,-0.130940281118963,1.23764872125218842E18,24.56248,22.06366,20.74185,20.15216,20.02
229.03095344429,-0.131144999922719,1.23764872125218842E18,22.02845,21.53728,21.51617,20.45309,21.1023
229.0441036746,-0.106122814264712,1.23764872125218842E18,21.89099,20.83081,20.55078,20.44544,20.2342
229.00286889497,-0.117696584969094,1.23764872125218842E18,21.8018,20.89282,20.56873,20.44763,20.5604
229.00552138059,-0.099662824656713,1.23764872125218918E18,21.40162,20.4499,20.08501,20.0007,19.9715
229.00502402311,-0.100936680911233,1.23764872125218918E18,21.69572,20.5691,20.17299,19.97332,20.0436
229.00480441842,-0.101475735437683,1.23764872125218918E18,22.17244,21.1154,20.81299,20.69502,20.7544
229.00168041036,-0.10196662620338,1.23764872125218918E18,22.41634,21.5738,21.2365,21.02398,21.0881
229.00613996085,-0.099203698521896,1.23764872125218918E18,23.90072,22.26639,21.76241,21.57414,21.1965
229.00351484572,-0.101206552831666,1.23764872125218918E18,24.37988,22.87584,22.27848,21.99117,23.0184
229.00521197125,-0.09717869059326,1.23764872125218918E18,24.43967,23.45599,22.94532,22.52371,22.3823
229.01076192758,-0.0938391518875,1.23764872125218918E18,21.02898,19.74381,19.19372,18.95729,18.8633
229.00874974611,-0.09458830227098,1.23764872125218918E18,23.43274,21.62357,21.21253,21.26681,20.873
229.01394283258,-0.0924429965634,1.23764872125218918E18,23.31841,21.79337,21.48744,21.25976,21.7773
229.00722705435,-0.095822253806569,1.23764872125218918E18,23.48222,21.87383,21.50227,21.39533,20.9524
229.01199144275,-0.091759480780245,1.23764872125218918E18,23.77699,22.3324,22.16406,21.94879,22.1323
229.00926938705,-0.095701873890653,1.23764872125218918E18,24.6311,22.67154,22.05841,22.14989,23.1343
229.01273648878,-0.091398414253212,1.23764872125218918E18,23.79885,22.61973,22.12453,22.0996,21.3636
229.01240921127,-0.093816632929578,1.23764872125218918E18,24.357,23.29119,22.67287,22.79813,21.8902
229.00873693739,-0.097070423902072,1.23764872125218918E18,24.89553,23.99572,22.62036,22.73447,22.4177
229.01426166126,-0.090771209984601,1.23764872125218918E18,24.48716,23.32022,23.43736,23.18205,22.705
229.01977742765,-0.133452405331456,1.23764872125218918E18,21.58834,20.498,20.12448,19.93058,19.7239
229.01792020899,-0.133662108499339,1.23764872125218918E18,24.17789,23.60536,21.87845,21.91757,21.8087
229.01378973756,-0.13189689979388,1.23764872125218918E18,23.27391,22.96171,22.75858,22.37909,22.6325
229.0323787696,-0.092416535529468,1.23764872125218918E18,21.64704,19.24241,18.18925,17.80786,17.6026
229.03246236482,-0.091891698986095,1.23764872125218918E18,21.96316,20.64995,20.21855,20.12498,20.1062
